Unnamed: 0,Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1103,MSI,MSI Cyborg 15 A12UDX-1048IN Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::617407::computer::laptops,79990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 1.7 Ghz Processor,LCD,15.6 ,"GeForce RTX 3050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,no,
230,Lenovo,Lenovo Ideapad Gaming 3 15IHU6 (82K10198IN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::597644::computer::laptops,48411,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6 ,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life
1918,Lenovo,Lenovo Ideapad 3 15ALC6 (82KU0238IN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::611772::computer::laptops,37990,AMD Hexa-Core Ryzen 5,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 2.1 Ghz Processor,LCD,15.6 ,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 9 Hrs Battery Life
599,Lenovo,Lenovo ThinkBook 15 (20VE00W4IH) Laptop (15.6 Inch | Core i7 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::597650::computer::laptops,77990,Intel Core i7 (11th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.8 Ghz Processor,LCD,15.6 ,Iris Xe Graphics,Intel,512 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life
338,Dell,Dell Vostro 3401 (D552226WIN9BE) Laptop (14 Inch | Core i3 10th Gen | 4 GB | Windows 11 | 1 TB HDD 256 GB SSD)::597088::computer::laptops,42290,Intel Core i3 (10th Gen),Intel, 16 GB Expandable,4 GB , DDR4 RAM , 1.2 Ghz Processor,LCD,14 ,Integrated,Intel,256 GB SSD Storage , 1024 GB HDD Storage,65, Upto 10 Hrs Battery Life
637,Lenovo,Lenovo V14 Gen 2 (82KAA002IH) Laptop (14 Inch | Core i5 11th Gen | 8 GB | DOS | 512 GB SSD)::597407::computer::laptops,50999,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,14 ,Iris Xe Graphics,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
257,HP,HP 15-fc0031AU (7L035PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::613011::computer::laptops,50990,AMD Quad-Core Ryzen 5,AMD,Not Expandable,16 GB LP, LPDDR5 RAM, 4.2 Ghz Processor,LCD,15.6 ,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter
1333,Lenovo,Lenovo Thinkpad E14 (20TAS14C00) Laptop (14 Inch | Core i3 11th Gen | 8 GB | DOS | 512 GB SSD)::596044::computer::laptops,50000,Intel Core i3 (11th Gen),Intel, 32 GB Expandable,8 GB , DDR4 RAM , 3.0 Ghz Processor,LCD,14 ,Integrated,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
994,ASUS,ASUS ROG Zephyrus G15 GA503RM-HQ057WS Laptop (15.6 Inch | AMD Octa Core Ryzen 9 | 16 GB | Windows 11 | 1 TB SSD)::597023::computer::laptops,169980,AMD Octa-Core Ryzen 9,AMD,Not Expandable,16 GB , DDR5 RAM, 4.8 Ghz Processor,LCD,15.6 ,"Radeon GPU, 6 GB",AMD,1024 GB SSD Storage,No HDD,200,200W Adapter
3592,HP,HP Pavilion 14-ce3065tu (172V6PA) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD 128 GB SSD)::580625::computer::laptops,57990,Intel Core i5 (10th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 1.0 Ghz Processor,LED,14 ,UHD,Intel,128 GB SSD Storage , 1024 GB HDD Storage,41,41W Adapter
1467,ASUS,ASUS VivoBook 15 X512DA-EJ449T Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 1 TB HDD)::575814::computer::laptops,38990,AMD Quad-Core Ryzen 5,AMD, 12 GB Expandable,8 GB , DDR4 RAM , 2.1 Ghz Processor,LED,15.6 ,Radeon Vega 8,AMD,NO SSD,1024 GB HDD Storage,37,37W Adapter
